price,accommodates,bedrooms,beds,room_type,property_type,latitude,longitude,availability_365,minimum_nights,maximum_nights,number_of_reviews,bathrooms
54.0,2,1.0,1.0,Private room,Private room in home,51.52372789096392,-0.0458909187346437,80,1,365,3,1.5
45.0,2,1.0,1.0,Private room,Private room in rental unit,51.39990596128199,-0.101649541659726,365,1,365,0,1.0
170.0,4,2.0,3.0,Entire home/apt,Entire home,51.5980852,-0.1386865,60,1,30,12,1.0
138.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.56875982897737,-0.18513579376294,28,7,365,1,1.0
62.0,2,1.0,1.0,Private room,Private room in rental unit,51.48632172018855,-0.2336105805003453,332,1,365,4,1.0
790.0,6,3.0,3.0,Entire home/apt,Entire condo,51.50764,-0.13988,182,3,365,0,3.0
158.0,5,2.0,2.0,Entire home/apt,Entire rental unit,51.5314829,-0.2600573,305,3,365,0,1.0
120.0,1,1.0,,Private room,Private room in rental unit,51.51374,-0.12733,81,2,1125,3,1.0
245.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.52022,-0.16929,178,5,365,14,1.0
60.0,2,1.0,1.0,Private room,Private room in rental unit,51.47488,-0.03876,35,3,1125,8,1.0
